id,surface,corpus,group,slot,mode,kind,text,renders,retrieval,constraints
chip.litigation.3,spoke-chip,litigation,,3,,suggestion,Which judges have ruled against TRO motions most often?,nowhere — declared but never read,,"suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; litigation starts 2025-01-20, and its keyword index runs over docket-entry descriptions — a multi-word subject phrase matches near-randomly there"
chip.litigation.4,spoke-chip,litigation,,4,,suggestion,Pull all cases where the government has been sanctioned in 2025.,nowhere — declared but never read,,"suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; litigation starts 2025-01-20, and its keyword index runs over docket-entry descriptions — a multi-word subject phrase matches near-randomly there"
chip.litigation.5,spoke-chip,litigation,,5,,suggestion,Cases involving DOGE.,nowhere — declared but never read,,"suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; litigation starts 2025-01-20, and its keyword index runs over docket-entry descriptions — a multi-word subject phrase matches near-randomly there"
chip.presidential.1,spoke-chip,presidential,,1,,suggestion,"Which executive order forbids assassination, and how does it define the term?",nowhere — declared but never read,,"suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
chip.presidential.2,spoke-chip,presidential,,2,,suggestion,How many of Biden’s executive orders did Trump revoke?,nowhere — declared but never read,,"suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
chip.presidential.3,spoke-chip,presidential,,3,,suggestion,Is EO 12333 still in effect?,nowhere — declared but never read,,"suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
chip.presidential.4,spoke-chip,presidential,,4,,suggestion,Trace presidential action on classified information.,nowhere — declared but never read,,"suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
chip.sanctions.1,spoke-chip,sanctions,,1,,suggestion,Is the Wagner Group sanctioned — and under which programs and executive orders?,nowhere — declared but never read,,"suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; Sanctions has no designation dates — publish_date is a copy-freshness stamp for the list data, not a designation date"
chip.sanctions.2,spoke-chip,sanctions,,2,,suggestion,What does OFAC’s 50 percent rule mean for companies owned by sanctioned people?,nowhere — declared but never read,,"suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; Sanctions has no designation dates — publish_date is a copy-freshness stamp for the list data, not a designation date"
chip.sanctions.3,spoke-chip,sanctions,,3,,suggestion,"How many entities are sanctioned under EO 14024, the Russia authority?",nowhere — declared but never read,,"suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; Sanctions has no designation dates — publish_date is a copy-freshness stamp for the list data, not a designation date"
chip.sanctions.4,spoke-chip,sanctions,,4,,suggestion,How does a group get designated a Foreign Terrorist Organization?,nowhere — declared but never read,,"suggestionChips is declared by six spokes and read by nothing in app/src; polishing it changes no screen; Sanctions has no designation dates — publish_date is a copy-freshness stamp for the list data, not a designation date"
docs-demo.about-cfr.1,docs-demo,cfr,,1,,suggestion,"""HIPAA Privacy Rule requirements""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the CFR is current state only — nothing may ask how a rule changed
docs-demo.about-cfr.2,docs-demo,cfr,,2,,suggestion,pull 8 CFR § 208.30,docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the CFR is current state only — nothing may ask how a rule changed
docs-demo.about-cfr.3,docs-demo,cfr,,3,,suggestion,filter Title 40 (EPA) by part.,docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the CFR is current state only — nothing may ask how a rule changed
docs-demo.about-clemency.1,docs-demo,presidential,,1,,suggestion,"filter to topic ""January 6""",docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
docs-demo.about-clemency.2,docs-demo,presidential,,2,,suggestion,commutations by president,docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
docs-demo.about-clemency.3,docs-demo,presidential,,3,,suggestion,pardons where the recipient later reoffended,docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
docs-demo.about-clemency.4,docs-demo,presidential,,4,,suggestion,"search an offense like ""tax"" or ""campaign finance.""",docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
docs-demo.about-commentary.1,docs-demo,commentary,,1,,suggestion,"""What has been argued about the major questions doctrine?""",docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; two publications only, Lawfare and Executive Functions — naming an author is a promise the federation may stop keeping"
docs-demo.about-commentary.2,docs-demo,commentary,,2,,suggestion,filter by publication or author to read one venue or contributor,docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; two publications only, Lawfare and Executive Functions — naming an author is a promise the federation may stop keeping"
docs-demo.about-commentary.3,docs-demo,commentary,,3,,suggestion,summarize a specific piece.,docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; two publications only, Lawfare and Executive Functions — naming an author is a promise the federation may stop keeping"
docs-demo.about-congress.1,docs-demo,congress,,1,,suggestion,"""Find every time Pam Bondi has been asked about the Epstein files""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; Congress reaches 1789 only for public laws; hearings from 1933
docs-demo.about-congress.2,docs-demo,congress,,2,,suggestion,"""Trace the legislative history of FISA Section 702""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; Congress reaches 1789 only for public laws; hearings from 1933
docs-demo.about-congress.3,docs-demo,congress,,3,,suggestion,"""Which FISA-reform bills actually became law?""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; Congress reaches 1789 only for public laws; hearings from 1933
docs-demo.about-congress.4,docs-demo,congress,,4,,suggestion,"""What has Congress ever heard about the National Endowment for Democracy?""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; Congress reaches 1789 only for public laws; hearings from 1933
docs-demo.about-fbi.1,docs-demo,fbi,,1,,suggestion,"""What do the FBI's files show about the 9/11 investigation?""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the FBI Vault has no document dates — nothing may ask when
docs-demo.about-fbi.2,docs-demo,fbi,,2,,suggestion,"""What was COINTELPRO, according to the Bureau's own records?""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the FBI Vault has no document dates — nothing may ask when
docs-demo.about-fbi.3,docs-demo,fbi,,3,,suggestion,"""What's in the FBI's file on the Rosenberg case?""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the FBI Vault has no document dates — nothing may ask when
docs-demo.about-fbi.4,docs-demo,fbi,,4,,suggestion,"""How did the FBI investigate the anthrax letters (Amerithrax)?""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the FBI Vault has no document dates — nothing may ask when
docs-demo.about-fr.1,docs-demo,fr,,1,,suggestion,"""What Biden-era gun regulations were rescinded by the Trump administration?""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the Federal Register’s rules are complete from 1994; notices are still loading
docs-demo.about-fr.2,docs-demo,fr,,2,,suggestion,"""Show me all sanctions notices emanating from the Ukraine war""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the Federal Register’s rules are complete from 1994; notices are still loading
docs-demo.about-fr.3,docs-demo,fr,,3,,suggestion,"""What is open for public comment at EPA right now?""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the Federal Register’s rules are complete from 1994; notices are still loading
docs-demo.about-fr.4,docs-demo,fr,,4,,suggestion,"""Which rules implement Executive Order 14024?""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the Federal Register’s rules are complete from 1994; notices are still loading
docs-demo.about-frus.1,docs-demo,frus,,1,,suggestion,"""U.S. policy toward the Cuban Missile Crisis""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; FRUS volumes end with the Cold War — every question here is a historical one
docs-demo.about-frus.2,docs-demo,frus,,2,,suggestion,"""U.S. annexation of Hawaii""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; FRUS volumes end with the Cold War — every question here is a historical one
docs-demo.about-frus.3,docs-demo,frus,,3,,suggestion,summarize a specific cable.,docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; FRUS volumes end with the Cold War — every question here is a historical one
docs-demo.about-lawfare.1,docs-demo,lawfare,,1,,suggestion,"""What has Lawfare argued about the major questions doctrine?""","nowhere — the Lawfare spoke is retired into Commentary and is not registered, so this surface never mounts",,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the standalone Lawfare spoke is retired into Commentary
docs-demo.about-lawfare.2,docs-demo,lawfare,,2,,suggestion,filter by author to read one contributor's body of work,"nowhere — the Lawfare spoke is retired into Commentary and is not registered, so this surface never mounts",,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the standalone Lawfare spoke is retired into Commentary
docs-demo.about-lawfare.3,docs-demo,lawfare,,3,,suggestion,summarize a specific piece.,"nowhere — the Lawfare spoke is retired into Commentary and is not registered, so this surface never mounts",,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the standalone Lawfare spoke is retired into Commentary
docs-demo.about-litigation.1,docs-demo,litigation,,1,,suggestion,"Filter to a court and a date range, then open and read the docket of a specific case.",docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; this file marks the block **Demo queries to try:** and uses a bullet list, not the usual paragraph; litigation starts 2025-01-20, and its keyword index runs over docket-entry descriptions — a multi-word subject phrase matches near-randomly there"
docs-demo.about-litigation.2,docs-demo,litigation,,2,,suggestion,"Full-text search ""preliminary injunction"" or ""temporary restraining order"" across all district courts.",docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; this file marks the block **Demo queries to try:** and uses a bullet list, not the usual paragraph; litigation starts 2025-01-20, and its keyword index runs over docket-entry descriptions — a multi-word subject phrase matches near-randomly there"
docs-demo.about-litigation.3,docs-demo,litigation,,3,,suggestion,"Narrow to a field, then use Analyze to characterize patterns across the set.",docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; this file marks the block **Demo queries to try:** and uses a bullet list, not the usual paragraph; litigation starts 2025-01-20, and its keyword index runs over docket-entry descriptions — a multi-word subject phrase matches near-randomly there"
docs-demo.about-olc.1,docs-demo,olc,,1,,suggestion,"""OLC on the President's removal power""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses
docs-demo.about-olc.2,docs-demo,olc,,2,,suggestion,filter by date range to see a decade's released opinions,docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses
docs-demo.about-olc.3,docs-demo,olc,,3,,suggestion,summarize a specific opinion.,docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses
docs-demo.about-presidential.1,docs-demo,presidential,,1,,suggestion,"""Is EO 12333 still in effect?""",docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
docs-demo.about-presidential.2,docs-demo,presidential,,2,,suggestion,"""How many of Biden's executive orders did Trump revoke?""",docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
docs-demo.about-presidential.3,docs-demo,presidential,,3,,suggestion,filter to one president's memoranda,docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
docs-demo.about-presidential.4,docs-demo,presidential,,4,,suggestion,trace presidential action on classified information.,docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
docs-demo.about-sanctions.1,docs-demo,sanctions,,1,,suggestion,"""Is the Wagner Group sanctioned — and under which programs and executive orders?""",docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; Sanctions has no designation dates — publish_date is a copy-freshness stamp for the list data, not a designation date"
docs-demo.about-sanctions.2,docs-demo,sanctions,,2,,suggestion,"""What does OFAC's 50 percent rule mean for companies owned by sanctioned people?""",docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; Sanctions has no designation dates — publish_date is a copy-freshness stamp for the list data, not a designation date"
docs-demo.about-sanctions.3,docs-demo,sanctions,,3,,suggestion,"""How many entities are sanctioned under EO 14024, the Russia authority?""",docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; Sanctions has no designation dates — publish_date is a copy-freshness stamp for the list data, not a designation date"
docs-demo.about-sanctions.4,docs-demo,sanctions,,4,,suggestion,"""How does a group get designated a Foreign Terrorist Organization?""",docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; Sanctions has no designation dates — publish_date is a copy-freshness stamp for the list data, not a designation date"
docs-demo.about-usc.1,docs-demo,usc,,1,,suggestion,"""What authority governs expedited removal?""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses
docs-demo.about-usc.2,docs-demo,usc,,2,,suggestion,"""I plan to use an AR-15 to rob a bank — what statutes, criminal or civil, might complicate my plans?""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses
docs-demo.about-usc.3,docs-demo,usc,,3,,suggestion,jump to a known citation like 8 U.S.C. § 1225,docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses
docs-demo.about-usc.4,docs-demo,usc,,4,,suggestion,filter Title 18 by chapter.,docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses
docs-good-question.commentary-narrative-synthesis.1,docs-good-question,commentary,,1,,suggestion,"""What has been written about [Section 702 / the major questions doctrine / presidential immunity]?""",docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; two publications only, Lawfare and Executive Functions — naming an author is a promise the federation may stop keeping"
docs-good-question.commentary-narrative-synthesis.2,docs-good-question,commentary,,2,,suggestion,"""How have commentators argued about [a specific case or controversy]?""",docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; two publications only, Lawfare and Executive Functions — naming an author is a promise the federation may stop keeping"
docs-good-question.commentary-narrative-synthesis.3,docs-good-question,commentary,,3,,suggestion,"""What has [author] argued about [topic]?"" — the same author often writes in both publications, and the synthesis covers both.",docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; two publications only, Lawfare and Executive Functions — naming an author is a promise the federation may stop keeping"
docs-good-question.commentary-narrative-synthesis.4,docs-good-question,commentary,,4,,suggestion,"""What's the range of views on [X]?""",docs overlay,,"markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; two publications only, Lawfare and Executive Functions — naming an author is a promise the federation may stop keeping"
docs-good-question.fbi-narrative-synthesis.1,docs-good-question,fbi,,1,,suggestion,"""What's in the [COINTELPRO / Rosenberg / Amerithrax] file?"" — collection questions are the corpus's natural shape.",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the FBI Vault has no document dates — nothing may ask when
docs-good-question.fbi-narrative-synthesis.2,docs-good-question,fbi,,2,,suggestion,"""What was removed from the Vault about [subject]?"" — the recovered documents are filterable, and answers cite each one's Wayback capture date.",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the FBI Vault has no document dates — nothing may ask when
docs-good-question.fbi-narrative-synthesis.3,docs-good-question,fbi,,3,,suggestion,"""What do the files say about [person / event / program]?"" — topical search across 10,700+ OCR'd documents.",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the FBI Vault has no document dates — nothing may ask when
docs-good-question.lawfare-narrative-synthesis.1,docs-good-question,lawfare,,1,,suggestion,"""What has Lawfare written about [Section 702 / the major questions doctrine / birthright citizenship]?""","nowhere — the Lawfare spoke is retired into Commentary and is not registered, so this surface never mounts",,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the standalone Lawfare spoke is retired into Commentary
docs-good-question.lawfare-narrative-synthesis.2,docs-good-question,lawfare,,2,,suggestion,"""How have Lawfare authors argued about [a specific case or controversy]?""","nowhere — the Lawfare spoke is retired into Commentary and is not registered, so this surface never mounts",,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the standalone Lawfare spoke is retired into Commentary
docs-good-question.lawfare-narrative-synthesis.3,docs-good-question,lawfare,,3,,suggestion,"""What's the range of views on [X] across Lawfare's coverage?""","nowhere — the Lawfare spoke is retired into Commentary and is not registered, so this surface never mounts",,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the standalone Lawfare spoke is retired into Commentary
docs-good-question.lawfare-narrative-synthesis.4,docs-good-question,lawfare,,4,,suggestion,"""What has [author] argued about [topic]?"" — author is a first-class facet.","nowhere — the Lawfare spoke is retired into Commentary and is not registered, so this surface never mounts",,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses; the standalone Lawfare spoke is retired into Commentary
docs-good-question.olc-narrative-synthesis.1,docs-good-question,olc,,1,,suggestion,"""How has OLC's view of [executive privilege / the Appointments Clause / the recess-appointment power] evolved?""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses
docs-good-question.olc-narrative-synthesis.2,docs-good-question,olc,,2,,suggestion,"""Can the Department of [X] do [Y]?"" — the most authentic OLC framing; this is literally how agencies submit questions to OLC.",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses
docs-good-question.olc-narrative-synthesis.3,docs-good-question,olc,,3,,suggestion,"""When has OLC told the executive branch it could *not* do something?""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses
docs-good-question.olc-narrative-synthesis.4,docs-good-question,olc,,4,,suggestion,"""Is [X] constitutional, according to OLC?""",docs overlay,,markdown inside a template literal — the importer rewrites only this paragraph and re-wraps it to the column width the file already uses
placeholder.spokes/cfr/CfrFilterForm.tsx:72,placeholder,cfr,,1,,format-hint,e.g. 45 CFR 164.502,spoke filter form,,"format-hint: this teaches the field’s syntax, not a subject — prose here breaks the lesson (a CFR citation); the CFR is current state only — nothing may ask how a rule changed"
placeholder.spokes/cfr/CfrFilterForm.tsx:83,placeholder,cfr,,2,,suggestion,"e.g. privacy, NEPA, mortgage disclosure",spoke filter form,,the CFR is current state only — nothing may ask how a rule changed
placeholder.spokes/cfr/CfrFilterForm.tsx:92,placeholder,cfr,,3,,format-hint,e.g. Definitions,spoke filter form,,"format-hint: this teaches the field’s syntax, not a subject — prose here breaks the lesson (a section heading, matched as stored); the CFR is current state only — nothing may ask how a rule changed"
placeholder.spokes/cfr/CfrFilterForm.tsx:124,placeholder,cfr,,4,,format-hint,e.g. 164,spoke filter form,,"format-hint: this teaches the field’s syntax, not a subject — prose here breaks the lesson (a CFR part number); the CFR is current state only — nothing may ask how a rule changed"
placeholder.spokes/commentary/CommentaryFilterForm.tsx:127,placeholder,commentary,,1,,suggestion,"e.g. Section 702, emergency powers, executive privilege",spoke filter form,,"two publications only, Lawfare and Executive Functions — naming an author is a promise the federation may stop keeping"
placeholder.spokes/components/ClaudeAmaForm.tsx:95,placeholder,,,1,,suggestion,e.g. Are drug prosecutions up or down since the start of the year? Or: show me cases where states are suing the federal government over federalism. Or: how badly is ICE doing in immigration litigation?,"every spoke, Ask panel",,
placeholder.spokes/components/ClaudeAnalysisForm.tsx:84,placeholder,,,1,,suggestion,e.g. group cases by procedural posture; or: identify common factual patterns across these cases; or: rank by the procedural stage reached and label each,"every spoke, Analyze panel",,
placeholder.spokes/components/ClaudeReadForm.tsx:92,placeholder,,,1,,suggestion,e.g. cases where the court ordered the government to take or refrain from a specific action; or: cases where there's a sealed filing in the last 30 days,"every spoke, Read panel",,
placeholder.spokes/components/ClaudeSqlForm.tsx:68,placeholder,,,1,,suggestion,e.g. cases where the court ordered the government to take or refrain from a specific action; or: APA challenges with TROs granted in 2025,"every spoke, SQL panel",,
placeholder.spokes/components/FilterForm.tsx:152,placeholder,,,1,,suggestion,"e.g. preliminary injunction, TRO…","every spoke, filter form",,
placeholder.spokes/components/FilterForm.tsx:161,placeholder,,,2,,suggestion,"e.g. ACLU, Trump, EPA…","every spoke, filter form",,
placeholder.spokes/components/FilterForm.tsx:338,placeholder,,,3,,suggestion,"e.g. APA, 551, 1983…","every spoke, filter form",,
placeholder.spokes/congress/CongressFilterForm.tsx:99,placeholder,congress,,1,,suggestion,"e.g. foreign intelligence surveillance, Section 702",spoke filter form,,Congress reaches 1789 only for public laws; hearings from 1933
placeholder.spokes/congress/CongressFilterForm.tsx:111,placeholder,congress,,2,,format-hint,e.g. 118,spoke filter form,,"format-hint: this teaches the field’s syntax, not a subject — prose here breaks the lesson (a Congress number); Congress reaches 1789 only for public laws; hearings from 1933"
placeholder.spokes/congress/CongressFilterForm.tsx:189,placeholder,congress,,3,,suggestion,e.g. Goitein,spoke filter form,,Congress reaches 1789 only for public laws; hearings from 1933
placeholder.spokes/congress/CongressFilterForm.tsx:223,placeholder,congress,,4,,suggestion,e.g. Armed Forces and National Security,spoke filter form,,Congress reaches 1789 only for public laws; hearings from 1933
placeholder.spokes/congress/CongressFilterForm.tsx:232,placeholder,congress,,5,,format-hint,e.g. P000605,spoke filter form,,"format-hint: this teaches the field’s syntax, not a subject — prose here breaks the lesson (a Bioguide id); Congress reaches 1789 only for public laws; hearings from 1933"
placeholder.spokes/congress/CongressFilterForm.tsx:253,placeholder,congress,,6,,format-hint,e.g. R000584,spoke filter form,,"format-hint: this teaches the field’s syntax, not a subject — prose here breaks the lesson (a Bioguide id); Congress reaches 1789 only for public laws; hearings from 1933"
placeholder.spokes/congress/TurnsSurface.tsx:168,placeholder,congress,,1,,format-hint,e.g. Comey — or R000584,"congress, hearing-turns surface",,"format-hint: this teaches the field’s syntax, not a subject — prose here breaks the lesson (a name, or a Bioguide id); Congress reaches 1789 only for public laws; hearings from 1933"
placeholder.spokes/congress/TurnsSurface.tsx:177,placeholder,congress,,2,,suggestion,e.g. surveillance,"congress, hearing-turns surface",,Congress reaches 1789 only for public laws; hearings from 1933
placeholder.spokes/fbi/FbiFilterForm.tsx:73,placeholder,fbi,,1,,suggestion,"e.g. anthrax, counterintelligence program, Julius Rosenberg",spoke filter form,,the FBI Vault has no document dates — nothing may ask when
placeholder.spokes/fbi/FbiFilterForm.tsx:248,placeholder,fbi,,2,,suggestion,"e.g. Rosenberg, Cointel Pro, D B Cooper",spoke filter form,,"TYPEAHEAD, NOT PROSE: this is the FBI collection field, so every example must be a spelling that actually matches a stored collection. The worker matches the typed string as a case-insensitive substring of the stored value, or of that value with hyphens and underscores turned into spaces. The stored values here are ""cointel-pro"" and ""D-B-Cooper "" (with a trailing space), so ""COINTELPRO"" and ""D.B. Cooper"" match NOTHING — write them the way the box itself displays them, ""Cointel Pro"" and ""D B Cooper"". Verified against the live worker 2026-09-18; the FBI Vault has no document dates — nothing may ask when"
placeholder.spokes/fr/FrFilterForm.tsx:92,placeholder,fr,,1,,suggestion,"e.g. sanctions, greenhouse gas, asylum eligibility",spoke filter form,,the Federal Register’s rules are complete from 1994; notices are still loading
placeholder.spokes/fr/FrFilterForm.tsx:133,placeholder,fr,,2,,format-hint,e.g. 2060-AV09,spoke filter form,,"format-hint: this teaches the field’s syntax, not a subject — prose here breaks the lesson (a Regulation Identifier Number (RIN)); the Federal Register’s rules are complete from 1994; notices are still loading"
placeholder.spokes/fr/FrFilterForm.tsx:181,placeholder,fr,,3,,format-hint,e.g. 31,spoke filter form,,"format-hint: this teaches the field’s syntax, not a subject — prose here breaks the lesson (a Federal Register CFR title number); the Federal Register’s rules are complete from 1994; notices are still loading"
placeholder.spokes/fr/FrFilterForm.tsx:191,placeholder,fr,,4,,format-hint,e.g. 594,spoke filter form,,"format-hint: this teaches the field’s syntax, not a subject — prose here breaks the lesson (a Federal Register CFR part number); the Federal Register’s rules are complete from 1994; notices are still loading"
placeholder.spokes/frus/FrusFilterForm.tsx:85,placeholder,frus,,1,,suggestion,"e.g. Memorandum, Telegram, NSC Meeting",spoke filter form,,FRUS volumes end with the Cold War — every question here is a historical one
placeholder.spokes/frus/FrusFilterForm.tsx:96,placeholder,frus,,2,,suggestion,"e.g. Cuban missile, Khrushchev, Suez",spoke filter form,,FRUS volumes end with the Cold War — every question here is a historical one
placeholder.spokes/frus/FrusFilterForm.tsx:105,placeholder,frus,,3,,suggestion,"e.g. Havana, Moscow, Saigon",spoke filter form,,FRUS volumes end with the Cold War — every question here is a historical one
placeholder.spokes/frus/FrusFilterForm.tsx:139,placeholder,frus,,4,,format-hint,e.g. frus1969-76v01,spoke filter form,,"format-hint: this teaches the field’s syntax, not a subject — prose here breaks the lesson (a FRUS volume id); FRUS volumes end with the Cold War — every question here is a historical one"
placeholder.spokes/lawfare/LawfareFilterForm.tsx:103,placeholder,lawfare,,1,,suggestion,"e.g. Section 702, emergency powers, AI liability","nowhere — the Lawfare spoke is retired into Commentary and is not registered, so this surface never mounts",,the standalone Lawfare spoke is retired into Commentary
placeholder.spokes/more-like-this/MoreLikeThisPrompt.tsx:141,placeholder,,,1,,suggestion,e.g. opinions reaching the opposite conclusion on the same question,"every spoke, more-like-this prompt",,
placeholder.spokes/olc/OlcFilterForm.tsx:82,placeholder,olc,,1,,suggestion,"e.g. Authority, Constitutionality, Application of",spoke filter form,,
placeholder.spokes/olc/OlcFilterForm.tsx:93,placeholder,olc,,2,,suggestion,"e.g. executive privilege, habeas corpus",spoke filter form,,
placeholder.spokes/olc/OlcFilterForm.tsx:102,placeholder,olc,,3,,suggestion,"e.g. Olson, Rehnquist",spoke filter form,,
placeholder.spokes/presidential/ClemencyFilterForm.tsx:73,placeholder,presidential,,1,,suggestion,"e.g. drug, fraud, a recipient's name",spoke filter form,,"this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
placeholder.spokes/presidential/ClemencyFilterForm.tsx:107,placeholder,presidential,,2,,format-hint,"e.g. S.D.N.Y., D.C.",spoke filter form,,"format-hint: this teaches the field’s syntax, not a subject — prose here breaks the lesson (a district-court code); this keyword index matches loosely — check a query by reading the order titles it returns, never by its count"
